iter	Passed	Remaining
492	1817	1869
493	1820	1864
494	1822	1859
495	1825	1854
496	1827	1849
497	1829	1844
498	1832	1839
499	1834	1834
500	1837	1829
501	1840	1825
502	1842	1820
503	1844	1815
504	1847	1810
505	1849	1805
506	1852	1800
507	1854	1796
508	1856	1791
509	1859	1786
510	1861	1781
511	1864	1776
512	1866	1772
513	1869	1767
514	1871	1762
515	1873	1757
516	1876	1752
517	1878	1748
518	1881	1743
519	1883	1738
520	1885	1733
521	1888	1729
522	1890	1724
523	1893	1719
524	1896	1715
525	1898	1711
526	1901	1706
527	1903	1701
528	1906	1697
529	1908	1692
530	1912	1688
531	1914	1684
532	1917	1679
533	1919	1675
534	1921	1670
535	1924	1666
536	1927	1661
537	1929	1657
538	1932	1652
539	1934	1648
540	1937	1643
541	1939	1638
542	1941	1634
543	1944	1629
544	1946	1625
545	1948	1620
546	1951	1615
547	1953	1611
548	1956	1607
549	1958	1602
550	1960	1597
551	1963	1593
552	1965	1588
553	1967	1584
554	1970	1579
555	1972	1575
556	1975	1570
557	1977	1566
558	1979	1561
559	1982	1557
560	1984	1552
561	1986	1548
562	1989	1544
563	1991	1539
564	1994	1535
565	1996	1530
566	1998	1526
567	2001	1522
568	2003	1517
569	2006	1513
570	2008	1509
571	2010	1504
572	2013	1500
573	2015	1495
574	2018	1491
575	2020	1487
576	2025	1484
577	2030	1482
578	2033	1478
579	2036	1474
580	2038	1470
581	2040	1465
582	2043	1461
583	2045	1457
584	2048	1453
585	2053	1450
586	2056	1446
587	2058	1442
588	2060	1438
589	2063	1433
590	2067	1430
591	2070	1426
592	2073	1423
593	2076	1419
594	2079	1415
595	2081	1411
596	2084	1406
597	2086	1402
598	2089	1398
599	2091	1394
600	2095	1390
601	2097	1386
602	2100	1382
603	2102	1378
604	2104	1374
605	2107	1370
606	2109	1365
607	2112	1361
608	2114	1357
609	2117	1353
610	2119	1349
611	2122	1345
612	2124	1341
613	2128	1338
614	2131	1334
615	2133	1330
616	2136	1326
617	2139	1322
618	2141	1318
619	2144	1314
620	2147	1310
621	2151	1307
622	2157	1305
623	2160	1302
624	2164	1298
625	2167	1294
626	2169	1290
627	2171	1286
628	2174	1282
629	2177	1278
630	2181	1275
631	2183	1271
632	2185	1267
633	2188	1263
634	2191	1259
635	2194	1256
636	2198	1252
637	2200	1248
638	2203	1244
639	2205	1240
640	2208	1236
641	2212	1233
642	2214	1229
643	2217	1225
644	2220	1222
645	2223	1218
646	2228	1215
647	2233	1213
648	2237	1209
649	2239	1206
650	2243	1202
651	2246	1199
652	2249	1195
653	2254	1192
654	2258	1189
655	2263	1186
656	2267	1183
657	2270	1179
658	2272	1176
659	2278	1173
660	2281	1170
661	2284	1166
662	2286	1162
663	2290	1159
664	2294	1155
665	2297	1152
666	2303	1149
667	2307	1147
668	2310	1143
669	2314	1139
670	2316	1135
671	2320	1132
672	2323	1129
673	2326	1125
674	2328	1121
675	2332	1117
676	2336	1114
677	2340	1111
678	2342	1107
679	2345	1103
680	2349	1100
681	2353	1097
682	2357	1094
683	2359	1090
684	2364	1087
685	2370	1084
686	2373	1081
687	2375	1077
688	2383	1075
689	2387	1072
690	2389	1068
691	2391	1064
692	2394	1060
693	2398	1057
694	2400	1053
695	2403	1049
696	2406	1045
697	2408	1042
698	2411	1038
699	2415	1035
700	2418	1031
701	2422	1028
702	2424	1024
703	2427	1020
704	2431	1017
705	2434	1013
706	2437	1010
707	2440	1006
708	2442	1002
709	2446	999
710	2450	995
711	2452	992
712	2455	988
713	2458	984
714	2461	981
715	2467	978
716	2470	975
717	2473	971
718	2478	968
719	2483	965
720	2486	962
721	2488	958
722	2491	954
723	2495	951
724	2498	947
725	2501	943
726	2503	940
727	2506	936
728	2510	933
729	2514	930
730	2518	926
731	2520	922
732	2525	919
733	2528	916
734	2531	912
735	2534	908
736	2536	905
737	2540	902
738	2543	898
739	2549	895
740	2552	892
741	2556	888
742	2559	885
743	2561	881
744	2564	877
745	2566	873
746	2569	870
747	2571	866
748	2574	862
749	2577	859
750	2582	856
751	2585	852
752	2587	848
753	2591	845
754	2597	843
755	2600	839
756	2603	835
757	2606	832
758	2610	828
759	2614	825
760	2617	822
761	2622	818
762	2625	815
763	2629	812
764	2633	809
765	2640	806
766	2647	804
767	2651	800
768	2656	797
769	2660	794
770	2667	792
771	2671	789
772	2674	785
773	2678	782
774	2682	778
775	2684	774
776	2688	771
777	2691	767
778	2694	764
779	2696	760
780	2700	757
781	2704	753
782	2707	750
783	2711	746
784	2715	743
785	2717	739
786	2720	736
787	2726	733
788	2729	729
789	2731	726
790	2734	722
791	2738	719
792	2741	715
793	2745	712
794	2747	708
795	2750	704
796	2753	701
797	2757	698
798	2760	694
799	2762	690
800	2765	686
801	2768	683
802	2771	679
803	2773	676
804	2775	672
805	2778	668
806	2780	665
807	2783	661
808	2785	657
809	2788	654
810	2790	650
811	2792	646
812	2795	642
813	2797	639
814	2799	635
815	2802	631
816	2804	628
817	2806	624
818	2809	620
819	2811	617
820	2814	613
821	2816	609
822	2818	606
823	2821	602
824	2823	598
825	2825	595
826	2828	591
827	2830	587
828	2832	584
829	2835	580
830	2837	577
831	2840	573
832	2842	569
833	2844	566
834	2847	562
835	2849	558
836	2851	555
837	2854	551
838	2856	548
839	2858	544
840	2861	540
841	2863	537
842	2866	533
843	2868	530
844	2870	526
845	2873	522
846	2875	519
847	2877	515
848	2880	512
849	2882	508
850	2885	505
851	2887	501
852	2889	498
853	2892	494
854	2894	490
855	2896	487
856	2899	483
857	2901	480
858	2904	476
859	2906	473
860	2908	469
861	2911	466
862	2913	462
863	2915	458
864	2918	455
865	2920	451
866	2922	448
867	2925	444
868	2928	441
869	2930	437
870	2932	434
871	2935	430
872	2937	427
873	2940	423
874	2947	421
875	2959	418
876	2972	416
877	2985	414
878	2999	412
879	3008	410
880	3020	408
881	3026	404
882	3039	402
883	3046	399
884	3051	396
885	3064	394
886	3076	391
887	3079	388
888	3084	385
889	3088	381
890	3091	378
891	3094	374
892	3096	371
893	3099	367
894	3102	364
895	3109	360
896	3113	357
897	3116	353
898	3119	350
899	3122	346
900	3125	343
901	3128	339
902	3131	336
903	3134	332
904	3139	329
905	3142	326
906	3146	322
907	3149	319
908	3153	315
909	3156	312
910	3158	308
911	3162	305
912	3165	301
913	3167	298
914	3170	294
915	3172	290
916	3175	287
917	3177	283
918	3179	280
919	3182	276
920	3184	273
921	3187	269
922	3189	266
923	3191	262
924	3194	259
925	3196	255
926	3199	251
927	3201	248
928	3203	244
929	3206	241
930	3208	237
931	3211	234
932	3213	230
933	3216	227
934	3218	223
935	3221	220
936	3223	216
937	3226	213
938	3228	209
939	3230	206
940	3233	202
941	3235	199
942	3238	195
943	3240	192
944	3243	188
945	3245	185
946	3247	181
947	3250	178
948	3252	174
949	3255	171
950	3257	167
951	3260	164
952	3262	160
953	3264	157
954	3267	153
955	3269	150
956	3272	147
957	3274	143
958	3276	140
959	3279	136
960	3281	133
961	3283	129
962	3286	126
963	3288	122
964	3290	119
965	3293	115
966	3295	112
967	3297	109
968	3300	105
969	3302	102
970	3305	98
971	3307	95
972	3309	91
973	3312	88
974	3314	84
975	3317	81
976	3319	78
977	3322	74
978	3324	71
979	3326	67
980	3329	64
981	3331	61
982	3333	57
983	3336	54
984	3338	50
985	3340	47
986	3342	44
987	3345	40
988	3348	37
989	3350	33
990	3352	30
991	3355	27
992	3357	23
993	3359	20
994	3362	16
995	3364	13
996	3366	10
997	3369	6
998	3371	3
999	3374	0
